City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
242,Port Elizabeth,ZA,2022-04-28 23:16:39,-33.918,25.5701,61.32,70,0,4.61,clear sky
243,Kigoma,TZ,2022-04-28 23:20:41,-4.8769,29.6267,71.98,82,63,5.06,moderate rain
244,Meulaboh,ID,2022-04-28 23:20:42,4.1363,96.1285,77.2,89,81,3.74,broken clouds
245,Ust-Nera,RU,2022-04-28 23:20:42,64.5667,143.2,15.06,85,99,5.79,overcast clouds
246,Monte Alegre,BR,2022-04-28 23:20:42,-2.0078,-54.0692,75.87,94,100,3.71,overcast clouds
247,Coquimbo,CL,2022-04-28 23:16:43,-29.9533,-71.3436,58.73,82,0,4.61,clear sky
248,San Cristobal,VE,2022-04-28 23:20:43,7.7669,-72.225,73.58,87,90,1.41,overcast clouds
249,Port Hardy,CA,2022-04-28 23:20:43,50.6996,-127.4199,51.8,71,75,3.44,broken clouds
250,Diamantino,BR,2022-04-28 23:20:44,-14.4086,-56.4461,79.36,51,62,2.42,broken clouds
251,Nouadhibou,MR,2022-04-28 23:20:44,20.931,-17.0347,64.38,82,5,14.97,clear sky
252,Christchurch,NZ,2022-04-28 23:20:45,-43.5333,172.6333,61.41,78,78,7.0,broken clouds
253,Chapais,CA,2022-04-28 23:20:45,49.7834,-74.8492,35.38,67,6,9.98,clear sky
254,Souillac,MU,2022-04-28 23:20:46,-20.5167,57.5167,71.98,94,40,3.44,scattered clouds
255,Sinjai,ID,2022-04-28 23:20:46,-5.1241,120.253,77.07,91,41,3.42,scattered clouds
256,Montelibano,CO,2022-04-28 23:20:46,7.9829,-75.4229,76.95,91,100,7.85,overcast clouds
257,Vila Franca Do Campo,PT,2022-04-28 23:20:47,37.7167,-25.4333,63.19,96,100,26.89,moderate rain
258,Geraldton,AU,2022-04-28 23:20:47,-28.7667,114.6,52.21,87,0,8.05,clear sky
