City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
222,Baykit,RU,2022-03-23 01:36:58,61.67,96.37,19.29,93,100,1.88
223,Novikovo,RU,2022-03-23 01:36:58,51.1537,37.8879,23.63,98,44,3.4
224,Kahului,US,2022-03-23 01:36:58,20.8947,-156.47,84.22,67,40,19.57
225,Valparaiso,CL,2022-03-23 01:36:59,-33.0393,-71.6273,62.47,63,0,5.75
226,Provideniya,RU,2022-03-23 01:36:59,64.3833,-173.3,17.71,79,100,0.0
227,Balykshi,KZ,2022-03-23 01:37:00,47.0667,51.8667,21.2,93,6,4.47
228,Sibolga,ID,2022-03-23 01:38:00,1.7427,98.7792,83.07,71,88,0.47
229,Berasia,IN,2022-03-23 01:38:00,23.6333,77.4333,77.45,15,6,3.78
230,Kalispell,US,2022-03-23 01:38:01,48.1958,-114.3129,48.24,57,100,0.0
231,Oud-Beijerland,NL,2022-03-23 01:38:04,51.8242,4.4125,50.0,75,0,2.3
232,San Quintin,MX,2022-03-23 01:38:04,30.4833,-115.95,63.46,68,2,7.94
233,Yerbogachen,RU,2022-03-23 01:35:05,61.2767,108.0108,20.98,92,100,6.71
234,Usinsk,RU,2022-03-23 01:38:05,65.9939,57.5281,22.87,84,100,29.89
235,Kendari,ID,2022-03-23 01:38:05,-3.945,122.4989,80.08,85,99,4.47
236,Udachnyy,RU,2022-03-23 01:38:06,66.4167,112.4,7.45,77,100,4.65
237,Karratha,AU,2022-03-23 01:38:06,-20.7377,116.8463,95.97,33,90,18.84
238,Souillac,MU,2022-03-23 01:38:07,-20.5167,57.5167,79.18,94,75,8.05
239,Loa Janan,ID,2022-03-23 01:38:07,-0.583,117.095,82.09,77,100,3.65
240,Thompson,CA,2022-03-23 01:38:07,55.7435,-97.8558,28.56,93,100,4.61
241,Gander,CA,2022-03-23 01:38:08,48.9682,-54.5906,26.73,92,100,11.5
242,Madingou,CG,2022-03-23 01:38:08,-4.1536,13.55,72.99,91,98,1.57
243,Seoul,KR,2022-03-23 01:38:09,37.5683,126.9778,45.79,51,100,6.91
244,Nampula,MZ,2022-03-23 01:38:09,-15.1165,39.2666,71.55,100,75,5.75
245,Faanui,PF,2022-03-23 01:38:09,-16.4833,-151.75,81.23,72,100,8.52
246,Carnarvon,AU,2022-03-23 01:38:10,-24.8667,113.6333,82.47,61,97,11.5
247,Kaniama,CD,2022-03-23 01:38:10,-7.5667,24.1833,64.29,95,100,1.5
248,Linqiong,CN,2022-03-23 01:38:10,30.4159,103.4609,57.02,79,92,2.98
249,North Myrtle Beach,US,2022-03-23 01:34:58,33.816,-78.68,64.06,82,40,5.75
250,Sai Buri,TH,2022-03-23 01:38:11,6.7013,101.6168,77.97,77,100,3.6
251,Coahuayana,MX,2022-03-23 01:38:11,18.7333,-103.6833,68.92,74,15,0.54
252,Walvis Bay,NA,2022-03-23 01:38:12,-22.9575,14.5053,63.55,82,64,2.3
253,Sola,VU,2022-03-23 01:38:12,-13.8833,167.55,82.69,74,55,11.97
254,Bengkulu,ID,2022-03-23 01:38:13,-3.8004,102.2655,81.79,68,44,3.56
255,Denpasar,ID,2022-03-23 01:38:13,-8.65,115.2167,83.86,74,20,4.61
256,Sidi Ali,DZ,2022-03-23 01:38:13,36.0998,0.4206,55.47,93,100,5.46
257,Broome,US,2022-03-23 01:38:14,42.2506,-75.833,38.14,51,0,6.91
258,Tutoia,BR,2022-03-23 01:38:14,-2.7619,-42.2744,77.41,88,99,6.06
259,Gobabis,NA,2022-03-23 01:38:15,-22.45,18.9667,64.18,57,12,12.53
260,Bathsheba,BB,2022-03-23 01:38:15,13.2167,-59.5167,77.61,73,20,17.27
261,Marawi,PH,2022-03-23 01:38:16,7.9986,124.2928,78.76,69,100,2.71
262,Ambulu,ID,2022-03-23 01:38:16,-8.345,113.6058,84.15,68,42,1.1
263,Nieuw Amsterdam,SR,2022-03-23 01:38:17,5.8833,-55.0833,80.02,85,47,8.79
264,Soligalich,RU,2022-03-23 01:38:17,59.0778,42.2864,28.98,98,67,5.84
265,Margate,GB,2022-03-23 01:38:17,51.3813,1.3862,47.7,77,11,5.35
266,Ironton,US,2022-03-23 01:38:18,38.5368,-82.6829,67.15,34,0,6.91
267,Georgetown,MY,2022-03-23 01:38:18,5.4112,100.3354,85.95,86,20,3.44
268,Paciran,ID,2022-03-23 01:38:18,-6.8767,112.3761,84.61,74,74,3.22
269,Acapulco,MX,2022-03-23 01:36:29,16.8634,-99.8901,78.62,83,40,5.75
270,Guerrero Negro,MX,2022-03-23 01:38:19,27.9769,-114.0611,64.06,61,0,16.51
271,Severo-Kurilsk,RU,2022-03-23 01:38:19,50.6789,156.125,28.27,82,100,18.88
272,Kaeo,NZ,2022-03-23 01:38:20,-35.1,173.7833,74.68,58,1,10.25
273,Naze,JP,2022-03-23 01:38:20,28.3667,129.4833,63.52,82,100,5.08
274,Guanare,VE,2022-03-23 01:38:20,9.0418,-69.7421,86.02,45,11,2.3
275,Hithadhoo,MV,2022-03-23 01:39:21,-0.6,73.0833,83.95,68,0,15.79
276,Saint George,US,2022-03-23 01:37:58,37.1041,-113.5841,64.99,26,0,23.02
277,Tezu,IN,2022-03-23 01:39:21,27.9167,96.1667,86.63,23,5,2.55
278,Iqaluit,CA,2022-03-23 01:39:22,63.7506,-68.5145,-7.31,63,40,12.66
279,Macas,EC,2022-03-23 01:36:33,-2.3167,-78.1167,68.61,98,92,1.95
280,Yeniseysk,RU,2022-03-23 01:39:22,58.4497,92.1703,20.43,91,99,7.11
281,Puerto Leguizamo,CO,2022-03-23 01:39:23,-0.1934,-74.7819,71.38,94,97,1.68
282,Thanh Hoa,VN,2022-03-23 01:35:50,19.8,105.7667,71.82,92,100,10.31
283,Vaitape,PF,2022-03-23 01:39:23,-16.5167,-151.75,81.23,72,100,8.48
284,Xinzhi,CN,2022-03-23 01:39:23,36.4989,111.7047,49.46,68,71,2.98
285,Qaqortoq,GL,2022-03-23 01:39:24,60.7167,-46.0333,18.86,70,100,9.35
286,Batemans Bay,AU,2022-03-23 01:39:24,-35.7167,150.1833,70.11,90,100,8.28
287,San Felipe,VE,2022-03-23 01:39:24,10.3399,-68.7425,69.6,88,30,5.14
288,Timmins,CA,2022-03-23 01:35:17,48.4669,-81.3331,28.22,59,75,0.0
289,Inuvik,CA,2022-03-23 01:37:46,68.3499,-133.7218,-1.34,65,75,8.05
290,Inhambane,MZ,2022-03-23 01:39:25,-23.865,35.3833,71.82,83,1,7.63
291,Sao Joao Da Barra,BR,2022-03-23 01:39:25,-21.6403,-41.0511,74.26,72,54,11.79
292,Middelburg,ZA,2022-03-23 01:39:26,-25.7751,29.4648,54.25,76,3,1.63
